23.08.2023 21:59:38.790 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.62 seconds (JVM running for 3.008)
23.08.2023 22:01:27.296 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 22:01:27.299 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.08.2023 22:01:27.300 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
23.08.2023 22:01:28.462 [background-preinit] INFO  o.h.v.i.util.Version - HV000001: Hibernate Validator 6.2.5.Final
23.08.2023 22:01:28.466 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5165 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 22:01:28.466 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Starting OnlineResellingProjectApplication using Java 17.0.7 on MacBook-Pro-Oleg.local with PID 5165 (/Users/olegmetelev/IdeaProjects/OnlineResellingProject/target/classes started by olegmetelev in /Users/olegmetelev/IdeaProjects/OnlineResellingProject)
23.08.2023 22:01:28.466 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 22:01:28.466 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - No active profile set, falling back to 1 default profile: "default"
23.08.2023 22:01:28.490 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
23.08.2023 22:01:28.491 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
23.08.2023 22:01:28.867 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.08.2023 22:01:28.895 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 3 JPA repository interfaces.
23.08.2023 22:01:29.216 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23.08.2023 22:01:29.220 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23.08.2023 22:01:29.221 [restartedMain] INFO  o.a.c.c.StandardService - Starting service [Tomcat]
23.08.2023 22:01:29.221 [restartedMain] INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
23.08.2023 22:01:29.252 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
23.08.2023 22:01:29.253 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 762 ms
23.08.2023 22:01:29.364 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Starting...
23.08.2023 22:01:29.408 [restartedMain] INFO  c.z.h.HikariDataSource - HikariPool-1 - Start completed.
23.08.2023 22:01:29.505 [restartedMain] INFO  liquibase.database - Set default schema name to public
23.08.2023 22:01:29.558 [restartedMain] INFO  l.lockservice - Successfully acquired change log lock
23.08.2023 22:01:29.646 [restartedMain] INFO  liquibase.changelog - Reading from public.databasechangelog
23.08.2023 22:01:29.676 [restartedMain] INFO  l.lockservice - Successfully released change log lock
23.08.2023 22:01:29.710 [restartedMain] INFO  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.08.2023 22:01:29.733 [restartedMain] INFO  o.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
23.08.2023 22:01:29.795 [restartedMain] INFO  o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
